0,2,0,2,0,15,0,19,0,29,0,38,0,29,0,46,0,20,0,23,0,16,0,4,0,16,0,2,0,6,0,1,0.0,0.0,0,2
k* ʌ,꺼,k* ʌ jo,꺼요,,,,,k* ʌ dʑ wʌ ɾ ɑ,꺼줘라,,,k* ʌ dʑ u ɡ ɛ s* ʌ,꺼주겠어,k* ʌ dʑ u p s* i d ɑ,꺼줍시다,,,o l l jʌ dʑ u p s* i d ɑ,올려줍시다,k* ɯ ɡ ɛ t s* ɯ m n i k* ɑ,끄겠습니까,tʰ ɯ l ɡ ɛ t s* ɯ m n i k* ɑ,틀겠습니까,,,k ʌ m s ɛ kʰ ɛ dʑ u s i p s* i o,검색해주십시오,,,,,,,,
kʰ jʌ,켜,kʰ jʌ jo,켜요,k* ʌ ɾ ɑ,꺼라,k* ɯ s ɛ jo,끄세요,k* ʌ dʑ u dʑ ɑ,꺼주자,k* ʌ dʑ u l l ɛ,꺼줄래,k* ɯ s i p s* i o,끄십시오,k* ʌ dʑ u ɡ ɛ s* ʌ jo,꺼주겠어요,k* ʌ dʑ i s i p s* i o,꺼지십시오,o l l jʌ dʑ u ɡ ɛ s* ʌ jo,올려주겠어요,kʰ i ɡ ɛ t s* ɯ m n i k* ɑ,키겠습니까,k ʌ m s ɛ kʰ ɑ s i p s* i o,검색하십시오,k* ʌ dʑ i ɡ ɛ t s* ɯ m n i k* ɑ,꺼지겠습니까,k ʌ m s ɛ kʰ ɛ b o s i p s* i o,검색해보십시오,o l l jʌ dʑ i ɡ ɛ t s* ɯ m n i k* ɑ,올려지겠습니까,,,,,k ʌ m s ɛ kʰ ɛ b o ɡ ɛ t s* ɯ m n i k* ɑ,검색해보겠습니까
,,,,k* ɯ dʑ ɑ,끄자,k* ɯ l l ɛ,끌래,k* ɯ ɡ ɛ s* ʌ,끄겠어,k* ɯ p s* i d ɑ,끕시다,k* ʌ dʑ i ɡ ɛ s* ʌ,꺼지겠어,k* ʌ dʑ u ɡ ɛ n n i,꺼주겠니,kʰ jʌ dʑ u s i p s* i o,켜주십시오,o l l jʌ dʑ u ɡ ɛ n n i,올려주겠니,kʰ jʌ ɡ ɛ t s* ɯ m n i k* ɑ,켜겠습니까,k ʌ m s ɛ kʰ ɛ dʑ u ɡ ɛ s* ʌ,검색해주겠어,kʰ jʌ dʑ u ɡ ɛ t s* ɯ m n i k* ɑ,켜주겠습니까,,,n ɛ ɾ jʌ dʑ u ɡ ɛ t s* ɯ m n i k* ɑ,내려주겠습니까,,,,,,
,,,,k* ʌ dʑ jʌ,꺼져,k* ʌ dʑ jʌ jo,꺼져요,k* ʌ dʑ jʌ ɾ ɑ,꺼져라,k* ɯ ɡ ɛ s* ʌ jo,끄겠어요,kʰ jʌ dʑ u ɡ ɛ s* ʌ,켜주겠어,k* ʌ dʑ i p s* i d ɑ,꺼집시다,kʰ jʌ dʑ i s i p s* i o,켜지십시오,o l l jʌ dʑ i p s* i d ɑ,올려집시다,o l l jʌ dʑ u s i p s* i o,올려주십시오,k ʌ m s ɛ kʰ ɛ b o ɡ ɛ s* ʌ,검색해보겠어,kʰ jʌ dʑ i ɡ ɛ t s* ɯ m n i k* ɑ,켜지겠습니까,,,n ɛ ɾ jʌ dʑ i ɡ ɛ t s* ɯ m n i k* ɑ,내려지겠습니까,,,,,,
,,,,kʰ jʌ dʑ wʌ,켜줘,kʰ jʌ dʑ wʌ jo,켜줘요,k* ʌ dʑ i dʑ ɑ,꺼지자,k* ɯ ɡ ɛ n n i,끄겠니,kʰ i s i p s* i o,키십시오,k* ʌ dʑ i ɡ ɛ s* ʌ jo,꺼지겠어요,o l l jʌ dʑ u ɡ ɛ s* ʌ,올려주겠어,o l l jʌ dʑ i ɡ ɛ s* ʌ jo,올려지겠어요,o l l jʌ dʑ i s i p s* i o,올려지십시오,,,o l l ɯ ɡ ɛ t s* ɯ m n i k* ɑ,올르겠습니까,,,tʰ ɯ ɾ ʌ dʑ u ɡ ɛ t s* ɯ m n i k* ɑ,틀어주겠습니까,,,,,,
,,,,kʰ jʌ ɾ ɑ,켜라,kʰ i s ɛ jo,키세요,kʰ jʌ dʑ wʌ ɾ ɑ,켜줘라,k* ʌ dʑ i s ɛ jo,꺼지세요,kʰ jʌ dʑ i ɡ ɛ s* ʌ,켜지겠어,k* ʌ dʑ i ɡ ɛ n n i,꺼지겠니,o l l ɯ s i p s* i o,올르십시오,o l l jʌ dʑ i ɡ ɛ n n i,올려지겠니,n ɛ ɾ jʌ dʑ u s i p s* i o,내려주십시오,,,o l l i ɡ ɛ t s* ɯ m n i k* ɑ,올리겠습니까,,,tʰ ɯ ɾ ʌ dʑ i ɡ ɛ t s* ɯ m n i k* ɑ,틀어지겠습니까,,,,,,
,,,,kʰ i dʑ ɑ,키자,kʰ i l l ɛ,킬래,kʰ jʌ dʑ u dʑ ɑ,켜주자,k* ʌ dʑ i l l ɛ,꺼질래,kʰ jʌ s i p s* i o,켜십시오,kʰ jʌ dʑ u p s* i d ɑ,켜줍시다,o l l jʌ dʑ i ɡ ɛ s* ʌ,올려지겠어,n ɛ ɾ jʌ dʑ u p s* i d ɑ,내려줍시다,n ɛ ɾ jʌ dʑ i s i p s* i o,내려지십시오,,,n ɛ ɾ jʌ ɡ ɛ t s* ɯ m n i k* ɑ,내려겠습니까,,,,,,,,,,
,,,,kʰ jʌ dʑ jʌ,켜져,kʰ jʌ dʑ jʌ jo,켜져요,kʰ i ɡ ɛ s* ʌ,키겠어,kʰ jʌ dʑ u s ɛ jo,켜주세요,o l l jʌ dʑ wʌ ɾ ɑ,올려줘라,kʰ jʌ dʑ u ɡ ɛ s* ʌ jo,켜주겠어요,o l l i s i p s* i o,올리십시오,n ɛ ɾ jʌ dʑ u ɡ ɛ s* ʌ jo,내려주겠어요,tʰ ɯ ɾ ʌ dʑ u s i p s* i o,틀어주십시오,,,n ɛ ɾ i ɡ ɛ t s* ɯ m n i k* ɑ,내리겠습니까,,,,,,,,,,
,,,,kʰ jʌ dʑ ɑ,켜자,kʰ jʌ s ɛ jo,켜세요,kʰ jʌ dʑ jʌ ɾ ɑ,켜져라,kʰ jʌ dʑ u l l ɛ,켜줄래,o l l jʌ dʑ u dʑ ɑ,올려주자,kʰ jʌ dʑ u ɡ ɛ n n i,켜주겠니,n ɛ ɾ jʌ dʑ u ɡ ɛ s* ʌ,내려주겠어,n ɛ ɾ jʌ dʑ u ɡ ɛ n n i,내려주겠니,tʰ ɯ ɾ ʌ dʑ i s i p s* i o,틀어지십시오,,,kʰ jʌ b o ɡ ɛ t s* ɯ m n i k* ɑ,켜보겠습니까,,,,,,,,,,
,,,,o l l ɑ,올라,kʰ jʌ l l ɛ,켤래,kʰ jʌ dʑ i dʑ ɑ,켜지자,kʰ i p s* i d ɑ,킵시다,o l l ɯ ɡ ɛ s* ʌ,올르겠어,kʰ jʌ dʑ i p s* i d ɑ,켜집시다,n ɛ ɾ jʌ dʑ i ɡ ɛ s* ʌ,내려지겠어,n ɛ ɾ jʌ dʑ i p s* i d ɑ,내려집시다,k ʌ m s ɛ kʰ ɑ p s* i d ɑ,검색합시다,,,k* ʌ b o ɡ ɛ t s* ɯ m n i k* ɑ,꺼보겠습니까,,,,,,,,,,
,,,,o l l jʌ,올려,o l l ɑ jo,올라요,kʰ jʌ ɡ ɛ s* ʌ,켜겠어,kʰ i ɡ ɛ s* ʌ jo,키겠어요,o l l jʌ dʑ jʌ ɾ ɑ,올려져라,kʰ jʌ dʑ i ɡ ɛ s* ʌ jo,켜지겠어요,n ɛ ɾ jʌ s i p s* i o,내려십시오,n ɛ ɾ jʌ dʑ i ɡ ɛ s* ʌ jo,내려지겠어요,k ʌ m s ɛ kʰ ɑ ɡ ɛ s* ʌ jo,검색하겠어요,,,k ʌ m s ɛ kʰ ɛ dʑ u p s* i d ɑ,검색해줍시다,,,,,,,,,,
,,,,n ɛ ɾ jʌ,내려,o l l jʌ jo,올려요,o l l jʌ dʑ wʌ,올려줘,kʰ i ɡ ɛ n n i,키겠니,o l l jʌ dʑ i dʑ ɑ,올려지자,kʰ jʌ dʑ i ɡ ɛ n n i,켜지겠니,n ɛ ɾ i s i p s* i o,내리십시오,n ɛ ɾ jʌ dʑ i ɡ ɛ n n i,내려지겠니,k ʌ m s ɛ kʰ ɑ ɡ ɛ n n i,검색하겠니,,,k ʌ m s ɛ kʰ ɛ dʑ u ɡ ɛ s* ʌ jo,검색해주겠어요,,,,,,,,,,
,,,,tʰ ɯ ɾ ʌ,틀어,n ɛ ɾ jʌ jo,내려요,o l l ɑ ɾ ɑ,올라라,kʰ jʌ dʑ i s ɛ jo,켜지세요,o l l i ɡ ɛ s* ʌ,올리겠어,o l l jʌ dʑ u s ɛ jo,올려주세요,tʰ ɯ ɾ ʌ dʑ u ɡ ɛ s* ʌ,틀어주겠어,tʰ ɯ ɾ ʌ dʑ u p s* i d ɑ,틀어줍시다,k ʌ m s ɛ kʰ ɛ dʑ u s ɛ jo,검색해주세요,,,k ʌ m s ɛ kʰ ɛ dʑ u ɡ ɛ n n i,검색해주겠니,,,,,,,,,,
,,,,kʰ jʌ b wa,켜봐,tʰ ɯ ɾ ʌ jo,틀어요,o l l ɯ dʑ ɑ,올르자,kʰ jʌ dʑ i l l ɛ,켜질래,n ɛ ɾ jʌ dʑ wʌ ɾ ɑ,내려줘라,o l l jʌ dʑ u l l ɛ,올려줄래,tʰ ɯ ɾ ʌ dʑ i ɡ ɛ s* ʌ,틀어지겠어,tʰ ɯ ɾ ʌ dʑ u ɡ ɛ s* ʌ jo,틀어주겠어요,k ʌ m s ɛ kʰ ɛ dʑ u l l ɛ,검색해줄래,,,k ʌ m s ɛ kʰ ɛ b o p s* i d ɑ,검색해봅시다,,,,,,,,,,
,,,,k* ʌ b wa,꺼봐,tʰ ɯ s ɛ jo,트세요,o l l jʌ dʑ jʌ,올려져,kʰ jʌ p s* i d ɑ,켭시다,n ɛ ɾ jʌ dʑ u dʑ ɑ,내려주자,o l l ɯ p s* i d ɑ,올릅시다,kʰ jʌ b o s i p s* i o,켜보십시오,tʰ ɯ ɾ ʌ dʑ u ɡ ɛ n n i,틀어주겠니,k ʌ m s ɛ kʰ ɛ b o s ɛ jo,검색해보세요,,,k ʌ m s ɛ kʰ ɛ b o ɡ ɛ s* ʌ jo,검색해보겠어요,,,,,,,,,,
,,,,,,tʰ ɯ l dʑ ɑ,틀자,o l l jʌ ɾ ɑ,올려라,kʰ jʌ ɡ ɛ s* ʌ jo,켜겠어요,n ɛ ɾ jʌ dʑ jʌ ɾ ɑ,내려져라,o l l ɯ ɡ ɛ s* ʌ jo,올르겠어요,k* ʌ b o s i p s* i o,꺼보십시오,tʰ ɯ ɾ ʌ dʑ i p s* i d ɑ,틀어집시다,k ʌ m s ɛ kʰ ɛ b o l l ɛ,검색해볼래,,,k ʌ m s ɛ kʰ ɛ b o ɡ ɛ n n i,검색해보겠니,,,,,,,,,,
,,,,,,tʰ ɯ l l ɛ,틀래,o l l i dʑ ɑ,올리자,kʰ jʌ ɡ ɛ n n i,켜겠니,n ɛ ɾ jʌ dʑ i dʑ ɑ,내려지자,o l l ɯ ɡ ɛ n n i,올르겠니,k ʌ m s ɛ kʰ ɑ s ɛ jo,검색하세요,tʰ ɯ ɾ ʌ dʑ i ɡ ɛ s* ʌ jo,틀어지겠어요,,,,,,,,,,,,,,,,
,,,,,,kʰ jʌ b wa jo,켜봐요,n ɛ ɾ jʌ dʑ wʌ,내려줘,o l l jʌ dʑ wʌ jo,올려줘요,n ɛ ɾ jʌ ɡ ɛ s* ʌ,내려겠어,o l l jʌ dʑ i s ɛ jo,올려지세요,k ʌ m s ɛ kʰ ɑ l l ɛ,검색할래,tʰ ɯ ɾ ʌ dʑ i ɡ ɛ n n i,틀어지겠니,,,,,,,,,,,,,,,,
,,,,,,k* ʌ b wa jo,꺼봐요,n ɛ ɾ jʌ dʑ jʌ,내려져,o l l ɯ s ɛ jo,올르세요,n ɛ ɾ i ɡ ɛ s* ʌ,내리겠어,o l l jʌ dʑ i l l ɛ,올려질래,k ʌ m s ɛ kʰ ɛ dʑ wʌ jo,검색해줘요,k ʌ m s ɛ kʰ ɑ ɡ ɛ s* ʌ,검색하겠어,,,,,,,,,,,,,,,,
,,,,,,,,n ɛ ɾ jʌ ɾ ɑ,내려라,o l l ɯ l l ɛ,올를래,tʰ ɯ ɾ ʌ dʑ wʌ ɾ ɑ,틀어줘라,o l l i p s* i d ɑ,올립시다,k ʌ m s ɛ kʰ ɛ b wa jo,검색해봐요,k ʌ m s ɛ kʰ ɛ dʑ wʌ ɾ ɑ,검색해줘라,,,,,k* ʌ dʑ u ɡ ɛ t s* ɯ m n i k* ɑ,꺼주겠습니까,,,,,,,,,,
,,,,,,,,n ɛ ɾ jʌ dʑ ɑ,내려자,o l l jʌ dʑ jʌ jo,올려져요,tʰ ɯ ɾ ʌ dʑ u dʑ ɑ,틀어주자,o l l i ɡ ɛ s* ʌ jo,올리겠어요,,,k ʌ m s ɛ kʰ ɛ dʑ u dʑ ɑ,검색해주자,,,,,,,,,,,,,,,,
,,,,,,,,n ɛ ɾ i dʑ ɑ,내리자,o l l i s ɛ jo,올리세요,tʰ ɯ s i p s* i o,트십시오,o l l i ɡ ɛ n n i,올리겠니,,,k ʌ m s ɛ kʰ ɛ b wa ɾ ɑ,검색해봐라,,,,,,,,,,,,,,,,
,,,,,,,,tʰ ɯ ɾ ʌ dʑ wʌ,틀어줘,o l l i l l ɛ,올릴래,tʰ ɯ l ɡ ɛ s* ʌ jo,틀겠어요,n ɛ ɾ jʌ dʑ u s ɛ jo,내려주세요,,,k ʌ m s ɛ kʰ ɛ b o dʑ ɑ,검색해보자,,,,,,,,,,,,,,,,
,,,,,,,,tʰ ɯ ɾ ʌ ɾ ɑ,틀어라,n ɛ ɾ jʌ dʑ wʌ jo,내려줘요,tʰ ɯ l ɡ ɛ n n i,틀겠니,n ɛ ɾ jʌ dʑ u l l ɛ,내려줄래,,,,,,,,,,,,,,,,,,,,
,,,,,,,,tʰ ɯ ɾ ʌ dʑ jʌ,틀어져,n ɛ ɾ jʌ dʑ jʌ jo,내려져요,tʰ ɯ ɾ ʌ dʑ jʌ ɾ ɑ,틀어져라,n ɛ ɾ jʌ dʑ i s ɛ jo,내려지세요,,,,,,,,,,,,,,,,,,,,
,,,,,,,,kʰ jʌ b wa ɾ ɑ,켜봐라,n ɛ ɾ jʌ s ɛ jo,내려세요,tʰ ɯ ɾ ʌ dʑ i dʑ ɑ,틀어지자,n ɛ ɾ jʌ dʑ i l l ɛ,내려질래,,,,,,,,,,,,,,,,,,,,
,,,,,,,,kʰ jʌ b o dʑ ɑ,켜보자,n ɛ ɾ jʌ l l ɛ,내렬래,kʰ jʌ b o ɡ ɛ s* ʌ,켜보겠어,n ɛ ɾ jʌ p s* i d ɑ,내렵시다,,,,,,,,,,,,,,,,,,,,
,,,,,,,,k* ʌ b wa ɾ ɑ,꺼봐라,n ɛ ɾ i s ɛ jo,내리세요,k* ʌ b o ɡ ɛ s* ʌ,꺼보겠어,n ɛ ɾ jʌ ɡ ɛ s* ʌ jo,내려겠어요,,,,,,,,,,,,,o l l jʌ dʑ u ɡ ɛ t s* ɯ m n i k* ɑ,올려주겠습니까,,,,,,
,,,,,,,,k* ʌ b o dʑ ɑ,꺼보자,n ɛ ɾ i l l ɛ,내릴래,k ʌ m s ɛ kʰ ɛ jo,검색해요,n ɛ ɾ jʌ ɡ ɛ n n i,내려겠니,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,tʰ ɯ ɾ ʌ dʑ wʌ jo,틀어줘요,,,n ɛ ɾ i p s* i d ɑ,내립시다,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,tʰ ɯ p s* i d ɑ,틉시다,,,n ɛ ɾ i ɡ ɛ s* ʌ jo,내리겠어요,,,,,,,,,,,,,,,,,,,,
